book a spot for 3 in mt	O O O O B-party_size_number O B-state
book at table at a brasserie which serves padangnese food	O O O O O B-restaurant_type O O B-cuisine O
need a table for sep  first in haiti for a party of three	O O O O B-timeRange I-timeRange O B-country O O O O B-party_size_number
book a pub with fisn n chips in timberville	O O B-restaurant_type O B-served_dish I-served_dish I-served_dish O B-city
book a restaurant with wifi for nine people	O O B-restaurant_type O B-facility O B-party_size_number O
i want to book a restaurant in botswana for four people	O O O O O B-restaurant_type O B-country O B-party_size_number O
book a hawaiian diner in south carolina not far away in 1 second from now	O O B-cuisine B-restaurant_type O B-state I-state B-spatial_relation I-spatial_relation O O B-timeRange I-timeRange I-timeRange I-timeRange
book north indian osteria at 12 am	O B-cuisine I-cuisine B-restaurant_type O B-timeRange I-timeRange
i d like to eat at a restaurant far from grantsburg	O O O O O O O B-restaurant_type B-spatial_relation O B-city
please get seating at bouchon in tonga for jimmie and chasity howard	O O O O B-restaurant_name O B-country O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
book a table at a top-rated brasserie in pakistan	O O O O O B-sort B-restaurant_type O B-country
find me a table at a delicatessen in urbanette that serves rabbit pie	O O O O O O B-restaurant_type O B-city O O B-served_dish I-served_dish
book an osteria in north salt lake for three	O O B-restaurant_type O B-city I-city I-city O B-party_size_number
i d like to eat at a top-rated restaurant in turks and caicos islands	O O O O O O O B-sort B-restaurant_type O B-country I-country I-country I-country
book a table for one at monty’s hotel  secunderabad	O O O O B-party_size_number O B-restaurant_name I-restaurant_name I-restaurant_name
book a spot for 2 at a restaurant in mayotte at 06:13 am	O O O O B-party_size_number O O B-restaurant_type O B-country O B-timeRange I-timeRange
book a table at a french restaurant for fern and i	O O O O O B-cuisine B-restaurant_type O B-party_size_description I-party_size_description I-party_size_description
restaurant in zimbabwe that is brasserie and has parking	B-restaurant_type O B-country O O B-restaurant_type O O B-facility
restaurant in durant for 3 pm	B-restaurant_type O B-city O B-timeRange I-timeRange
book a table for 2 at a fm restaurant serving grits for the next meal	O O O O B-party_size_number O O B-state B-restaurant_type O B-served_dish O O O B-timeRange
i want to book a restaurant for four people in eminence	O O O O O B-restaurant_type O B-party_size_number O O B-city
i would like to book a brasserie for nine in ar	O O O O O O B-restaurant_type O B-party_size_number O B-state
find a reservation for 2 at a restaurant for pizza	O O O O B-party_size_number O O B-restaurant_type O B-served_dish
book a restaurant that serves scampi for 10 people	O O B-restaurant_type O O B-served_dish O B-party_size_number O
book a table for pearl and verna slated ash wednesday in gabon	O O O O B-party_size_description I-party_size_description I-party_size_description O B-timeRange I-timeRange O B-country
i want to book a restaurant neighboring livonia av	O O O O O B-restaurant_type B-spatial_relation B-poi I-poi
my niece and i want to visit a food court in callicoon  tennessee	B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O O O B-restaurant_type I-restaurant_type O B-city B-state
find a reservation for three in ansonia mi	O O O O B-party_size_number O B-city B-state
book a table for two at a restaurant faraway from office in california	O O O O B-party_size_number O O B-restaurant_type B-spatial_relation O B-poi O B-state
book a spot at the best steakhouse in florida	O O O O O B-sort B-restaurant_type O B-state
i need a table at a cafe that serves baeckeoffe	O O O O O O B-restaurant_type O O B-served_dish
book a restaurant for five in karnataka	O O B-restaurant_type O B-party_size_number O B-cuisine
book me a reservation at a pub restaurant that serves meatball in stehekin for 2 people on 1/1/2018	O O O O O O B-restaurant_type I-restaurant_type O O B-served_dish O B-city O B-party_size_number O O B-timeRange
make a reservation at a diner which serves chowder in mt for august the 17th  2024	O O O O O B-restaurant_type O O B-served_dish O B-state O B-timeRange I-timeRange I-timeRange I-timeRange
i m looking to get reservations for me  jillian and louella at a restaurant that is faraway from tx	O O O O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type O O B-spatial_relation O B-state
book a highly rated place for 8 at a restaurant	O O B-sort I-sort O O B-party_size_number O O B-restaurant_type
book a spot for ten at a restaurant with a spa in u s  minor outlying islands	O O O O B-party_size_number O O B-restaurant_type O O B-facility O B-country I-country I-country I-country I-country
can i get a table for 3 in gu at a restaurant in the neighboring area that serves chicken french	O O O O O O B-party_size_number O B-state O O B-restaurant_type O O B-spatial_relation I-spatial_relation O O B-served_dish I-served_dish
book a table in ut at kearney for 6	O O O O B-state O B-city O B-party_size_number
i need a table for 10 at the best gastropub	O O O O O B-party_size_number O O B-sort B-restaurant_type
reserve a spot at indoor restaurant on june the 15th  3 guests	O O O O B-facility B-restaurant_type O B-timeRange I-timeRange I-timeRange B-party_size_number O
i need a reservation for a restaurant that serves cupcakes in oh	O O O O O O B-restaurant_type O O B-served_dish O B-state
book french food for me and angeline at a restaurant	O B-cuisine O O B-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type
i want to book a close restaurant in sc for seven	O O O O O B-spatial_relation B-restaurant_type O B-state O B-party_size_number
rebekah taylor and marcie need reservations at the clink in senegal	B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O O B-restaurant_name I-restaurant_name O B-country
i want to eat at a food truck this week with my colleague and i	O O O O O O B-restaurant_type I-restaurant_type B-timeRange I-timeRange O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
book a table at top pot doughnuts in 16 hours for 5	O O O O B-restaurant_name I-restaurant_name I-restaurant_name B-timeRange I-timeRange I-timeRange O B-party_size_number
book tortano serving brasserie for me  isabella and carly in kuwait	O B-served_dish O B-restaurant_type O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-country
i want tables for 6 at a kosher steakhouse around kosovo	O O O O B-party_size_number O O B-cuisine B-restaurant_type B-spatial_relation B-country
book a table for eight in graf far away	O O O O B-party_size_number O B-city B-spatial_relation O
restaurant in watauga for me and my aunt	B-restaurant_type O B-city O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
i need to reserve a table for me and my mom at the nearest restaurant in the state of mh	O O O O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O O B-restaurant_type O O O O B-state
i need a table at a steakhouse in encino that serves meatcake	O O O O O O B-restaurant_type O B-city O O B-served_dish
book a bar which serves chicken french at robinson	O O B-restaurant_type O O B-served_dish I-served_dish O B-city
book a table at crown candy kitchen for lacy and i	O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-party_size_description I-party_size_description I-party_size_description
book a reservation for a brasserie serving soupe in tokelau	O O O O O B-restaurant_type O B-served_dish O B-country
book a cafeteria that serves bagels for six people	O O B-restaurant_type O O B-served_dish O B-party_size_number O
i would like a table at a taverna with croquembouche for 1 minute from now	O O O O O O O B-restaurant_type O B-served_dish O B-timeRange I-timeRange I-timeRange I-timeRange
book a restaurant in darnell	O O B-restaurant_type O B-city
book me a table at the fat duck in ireland	O O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-country
book a highly rated northeast indian  brasserie in kenova for nannie and i at 14:41	O O B-sort I-sort B-cuisine I-cuisine B-restaurant_type O B-city O B-party_size_description I-party_size_description I-party_size_description O B-timeRange
at two am  i need reservations for my friends and i at irma hotel	O B-timeRange I-timeRange O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-restaurant_name I-restaurant_name
i need a table at eddie’s attic in nevada for one	O O O O O B-restaurant_name I-restaurant_name O B-state O B-party_size_number
i d like to eat at a restaurant in md with a party of 8	O O O O O O O B-restaurant_type O B-state O O O O B-party_size_number
book a restaurant on next fall  for 5	O O B-restaurant_type O B-timeRange I-timeRange O B-party_size_number
book a restaurant within the same area of earls court for lucille and marina	O O B-restaurant_type B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-poi I-poi O B-party_size_description I-party_size_description I-party_size_description
i need a table at surf taco in east uniontown	O O O O O B-restaurant_name I-restaurant_name O B-city I-city
i need a table at a restaurant in texas for kelley and suzette	O O O O O O B-restaurant_type O B-state O B-party_size_description I-party_size_description I-party_size_description
